id_daftar_sekolah,sekolah_asal,tipe_sekolah_asal,kodepos_sekolah,jenis_sekolah,is_deleted,tanggal_input,tanggal_update,id_lokasi
636,SMK NEGERI 1 BOYOLANGU,NEGERI,66233,SMK,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,240
637,SMK KRISTEN 1 TOMOHON,SWASTA,95445,SMK,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,364
638,SMA NEGERI 10 AMBON,NEGERI,97118,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,437
639,SMA NEGERI 1 WITA PONDA,NEGERI,94976,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,373
640,SMA NEGERI 1 LAPE,NEGERI,84382,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,267
641,SMA SANATA KARYA LANGGUR,SWASTA,97611,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,432
642,SMA KATOLIK SANTO THOMAS AQUINO,SWASTA,66229,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,240
643,SMA NEGERI 4 AMBON,NEGERI,97231,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,437
644,SMA KRISTEN PETRA 5 SURABAYA,SWASTA,60236,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,224
645,SMA TIGA MARET YOGYAKARTA,SWASTA,55281,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,213
646,SMA ABDI PANGKALAN BUN,SWASTA,74112,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,310
647,SMA SANTO THOMAS AQUINAS,SWASTA,87255,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,285
648,SMA SANTA MARIA TARUTUNG,SWASTA,22416,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,30
